|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| photo_id                         | ankle_width | bicep_width | calf_width | forearm_width | height | hip_width | thigh_width | waist_width | wrist_width |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 03c7f2ec6f04f86544653efb6ede232e |          31 |        54.2 |         66 |          53.8 |    816 |       179 |          87 |         154 |        30.6 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 059dfdef03225feaef0a4facae589405 |          26 |        57.3 |         57 |          50.8 |    814 |       233 |          88 |         172 |        26.4 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 07bf2f074922e107181b6c028505cfc2 |          27 |        47.4 |         57 |          42.4 |  822.1 |       180 |          79 |         182 |        23.6 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 0b4b2c38e7acc9f9f052d8800b106e58 |          29 |        49.8 |         57 |            51 |    830 |       179 |          82 |         176 |        27.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 0d0b6179d54bdad8e5d51a1cc9110aa2 |          29 |          43 |         52 |          41.1 |    772 |       162 |          76 |         144 |        22.4 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 0d95143c71cdba00ddfdfde3c5ed3736 |          26 |        54.1 |         57 |          43.3 |    814 |       218 |          94 |         183 |        21.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 0d9ef51d391d90554e370442df708aba |        31.4 |        56.4 |       63.1 |          52.5 |    852 |       190 |          89 |         182 |        27.3 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 123d91914c8451f561dd44d83c526954 |          28 |          51 |         59 |          46.8 |    804 |       174 |          81 |         154 |        26.4 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 14ff8bc9a53353188d01753ecad04e2b |          30 |        44.7 |         54 |          43.9 |    782 |       178 |          77 |         164 |        21.8 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 15b6b76ff10700a348f7e8fddb99ed64 |          25 |        50.6 |         54 |          49.8 |    842 |       184 |          85 |         178 |        25.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 15d5ed6db9d46961ddbb7ed3352db333 |          27 |        55.9 |         58 |          48.8 |    844 |       212 |          96 |         194 |        25.3 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 16417764b8f417fa21b6a625d2fb2072 |          28 |        43.4 |         59 |          46.1 |  782.1 |       165 |          77 |         148 |          24 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 165946854bce67b23b6c8480c0ccf647 |          31 |        51.6 |         62 |          50.4 |    851 |       185 |          88 |         171 |        25.1 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 188ff766c8009e788fb1ca9a3392388d |          24 |        58.8 |         53 |          50.2 |  823.1 |       185 |          82 |         188 |        25.1 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 1aaab97b315858cdbd0e86af9c6673f3 |          24 |        46.5 |         57 |          47.6 |    839 |       164 |          79 |         161 |        26.8 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 1b5a2a59ff4c2d74df4b86777ea9a7a0 |          27 |        54.2 |         57 |          50.6 |    867 |       238 |         107 |         169 |        23.3 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 1f11532ef71507e4b2da104e4cb6df23 |        27.9 |        63.6 |       63.1 |          55.6 |    821 |       235 |          97 |       182.1 |          25 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 1fe0f6509ad9e7115ee12903f6f01798 |        27.9 |        62.9 |       60.8 |          54.8 |  858.8 |       185 |        87.1 |         177 |        28.6 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 20928391c996a66beca24fa7337f5ab7 |          33 |        54.6 |       66.9 |          48.3 |    837 |     208.1 |        92.1 |         169 |        24.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 252cf65be6879a95291deb494e317834 |        27.2 |        55.6 |       53.9 |          50.9 |    799 |       216 |         101 |       157.1 |        25.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 253e9b5b76590c0163e56d7c0b19cbd0 |          32 |        50.6 |         62 |          44.1 |    849 |       186 |          81 |         171 |        27.8 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 2576fb9566aa515d912877cb6a4215da |          26 |        57.6 |         59 |          52.8 |    857 |       189 |          81 |         168 |        26.4 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 25da35d9a3e04ce905427bf81aee32a5 |          27 |          47 |       59.1 |            46 |    779 |       187 |        84.1 |       156.1 |        24.2 |
|----------------------------------|-------------|-------------|------------|---------------|--------|-----------|-------------|-------------|-------------|
| 2af48331f790a93d1ae04e63ce242f18 |        32.1 |        50.7 |       65.1 |          49.2 |    828 |     180.1 |        84.1 |         160 |        28.8 |
